study_hours,attendance,previous_marks,assignments,internal_marks,final_marks
2,65,55,6,58,61
3,70,60,7,62,66
4,75,65,8,68,72
5,80,70,9,72,77
6,85,75,10,78,83
7,90,80,9,84,88
1,60,45,4,48,52
3,68,58,6,60,64
4,72,63,7,65,69
5,78,69,8,70,75
6,82,74,9,76,81
7,88,79,10,82,87
2,62,50,5,53,57
4,76,67,8,69,73
5,81,72,9,74,79
8,92,85,10,88,92
9,95,90,10,92,96
2.5,64,52,5,55,59
3.5,71,62,7,64,68
4.5,77,68,8,70,74
5.5,83,73,9,75,80
6.5,87,77,10,80,85
7.5,91,82,9,85,90
8.5,94,87,10,90,94
1.5,58,42,4,45,49
2.8,66,56,6,59,63
3.8,73,64,7,66,70
4.8,79,71,8,71,76
5.8,84,76,9,77,82
6.8,89,81,10,83,88
7.8,93,86,9,87,91
2.2,63,51,5,54,58
3.2,69,59,6,61,65
4.2,74,66,7,67,71
5.2,80,70,8,73,77
6.2,86,76,9,79,84
7.2,90,81,10,84,89
1.8,61,48,4,50,54
2.6,65,54,5,57,61
3.6,71,61,7,63,67
4.6,78,69,8,70,75
5.6,82,75,9,76,81
6.6,87,78,10,81,86
7.6,91,83,9,85,90
8.2,93,88,10,89,93
2.1,62,49,5,52,56
3.1,67,57,6,59,63
4.1,73,65,7,66,70
5.1,79,70,8,72,76
6.1,84,75,9,77,82
